date,n1,n2,n3,n4,n5,n6,supp1,supp2
2016-04-20,7,13,21,31,39,45,14,30
2016-05-11,1,8,11,13,22,31,25,41
2016-05-25,18,22,31,34,36,41,10,26
2016-06-01,12,14,15,29,35,36,2,13
2016-06-15,25,28,30,39,40,42,6,13
2016-07-13,1,14,16,27,31,32,37,39
2016-09-21,3,4,10,29,30,42,7,38
2016-10-12,10,21,22,23,32,34,7,36
2016-10-19,8,12,23,30,33,44,9,35
2016-10-26,7,10,16,20,24,42,25,35
2016-11-02,3,5,6,7,23,31,9,22
2016-11-09,3,4,7,19,22,38,15,20
2016-11-30,6,7,16,25,33,40,9,15
2016-12-14,1,9,19,28,29,41,10,38
2016-12-28,1,4,6,10,16,20,34,36
2017-01-18,12,24,29,32,36,39,16,38
2017-01-25,8,16,19,22,37,43,5,31
2017-02-01,6,17,21,25,29,31,1,3
2017-02-22,10,26,30,42,43,44,13,14
2017-03-15,3,5,33,34,38,39,17,45
2017-03-22,6,11,18,22,23,35,27,37
2017-04-05,4,6,11,24,28,43,38,44
2017-04-12,5,8,9,10,22,44,24,33
2017-04-19,1,5,7,22,27,31,33,45
2017-04-26,3,5,10,19,21,40,9,32
2017-05-03,4,11,16,19,35,38,1,39
2017-05-10,4,14,17,29,38,39,9,24
2017-05-17,5,11,18,25,27,30,19,21
2017-05-24,2,11,19,32,36,42,10,21
2017-05-31,6,16,19,25,32,42,3,12
2017-06-21,16,28,30,35,38,40,10,11
2017-06-28,6,27,30,32,34,38,4,5
2017-07-05,3,11,18,24,32,36,7,14
2017-07-26,4,5,8,19,34,37,15,44
2017-09-06,13,16,23,30,36,45,12,21
2017-09-20,5,13,17,24,26,37,28,40
2017-09-27,5,26,28,33,34,37,25,40
2017-10-04,13,17,18,23,32,42,4,16
2017-10-11,12,17,23,26,34,35,3,33
2017-11-01,2,18,22,23,27,45,3,34
2017-11-08,3,6,11,23,34,38,5,30
2017-11-22,10,11,20,24,27,36,9,41
2017-12-06,8,13,14,34,36,43,30,37
2017-12-27,2,9,12,19,41,45,14,29
2018-01-24,4,7,27,33,36,45,37,44
2018-01-31,14,16,29,35,37,38,24,40
2018-03-14,4,9,17,31,34,36,5,15
2018-03-28,4,18,24,29,31,34,3,16
2018-04-18,3,4,11,36,41,45,7,43
2018-05-02,4,14,15,16,29,30,20,35
2018-05-16,6,11,16,25,32,41,17,21
