date,n1,n2,n3,n4,n5,n6,supp1,supp2
2019-07-29,3,4,6,11,26,29,40,41
2019-09-30,6,12,19,20,28,39,21,25
2019-10-21,2,9,17,19,22,36,8,26
2019-10-28,18,25,30,38,43,45,12,37
2019-11-04,5,6,10,14,33,37,20,22
2019-11-18,8,19,28,39,42,45,35,40
2019-11-25,11,21,25,29,41,43,1,31
2019-12-02,7,14,16,28,32,42,1,43
2019-12-09,8,10,11,13,20,23,21,40
2019-12-16,17,20,30,37,42,45,8,39
2019-12-23,1,15,16,20,32,39,30,33
2019-12-30,5,7,18,32,34,36,2,13
2020-01-06,5,11,16,26,35,43,6,24
2020-01-27,2,4,13,22,23,31,32,44
2020-02-03,7,20,26,28,34,40,17,39
2020-02-10,10,16,31,33,35,45,14,44
2020-02-17,19,26,32,35,40,45,18,24
2020-03-09,7,10,13,19,20,22,28,45
2020-03-16,18,26,33,36,40,44,39,41
2020-04-06,10,11,14,20,30,32,4,40
2020-04-13,1,2,33,39,41,45,7,38
2020-04-27,3,13,39,42,44,45,16,17
2020-05-04,30,32,39,40,41,43,15,23
2020-05-11,6,23,28,35,39,41,17,27
2020-05-18,13,16,20,21,39,40,18,44
2020-05-25,8,16,17,24,36,40,4,41
2020-06-08,4,8,18,20,39,44,23,33
2020-06-15,15,18,20,21,27,36,9,41
2020-06-22,3,4,13,23,32,39,34,40
2020-06-29,10,11,16,17,20,24,15,34
2020-07-06,1,8,15,41,42,45,22,30
2020-07-13,3,4,9,11,20,22,17,44
2020-07-20,2,3,7,14,18,35,5,16
2020-09-14,1,16,23,24,31,43,18,36
2020-09-21,1,4,8,18,22,35,14,38
2020-09-28,3,11,16,17,24,38,26,31
2020-10-05,5,7,22,28,37,39,14,24
2020-11-16,3,12,16,26,27,40,8,11
2020-11-23,12,13,20,24,35,38,3,43
2020-11-30,5,9,13,31,38,42,1,30
2020-12-07,10,19,26,35,38,45,17,32
2020-12-14,5,20,22,23,40,44,13,39
2020-12-28,10,16,19,28,39,42,9,18
2021-01-11,13,14,15,22,30,40,5,41
2021-01-18,4,13,29,31,38,44,10,23
2021-01-25,4,6,20,35,36,40,12,41
2021-02-22,5,6,15,16,21,45,37,38
2021-03-01,10,11,20,21,44,45,5,24
2021-03-22,6,8,18,21,24,42,23,37
2021-03-29,12,15,23,24,34,38,22,32
2021-04-12,5,11,24,29,32,42,22,27
2021-04-19,1,5,12,18,29,44,17,39
2021-05-03,3,16,21,28,32,34,1,39
2021-05-10,6,10,12,14,17,40,19,32
2021-05-17,15,29,36,38,42,44,8,27
2021-05-31,6,11,15,19,29,31,4,26
2021-06-07,10,12,21,24,41,44,13,18
2021-06-14,1,9,11,23,36,40,35,42
2021-06-21,3,18,33,38,40,43,8,34
2021-07-05,7,15,19,22,34,44,4,17
2021-07-12,5,9,15,17,20,24,21,25
2021-07-19,12,17,33,34,39,42,18,26
2021-07-26,3,6,13,19,31,33,16,38
2021-09-13,14,15,18,22,24,33,16,31
2021-09-27,2,4,15,21,24,36,3,18
2021-10-04,11,16,18,32,39,43,10,26
2021-10-11,16,18,26,31,41,42,4,15
2021-10-18,7,11,19,20,34,39,4,18
2021-10-25,1,4,6,11,17,20,32,41
2021-11-15,5,13,21,26,29,41,14,43
2021-11-29,2,6,14,22,36,43,12,42
2021-12-20,6,16,17,19,23,40,2,7
2022-01-03,10,23,26,35,40,44,25,38
2022-01-10,1,8,13,27,31,35,4,5
2022-02-07,4,5,19,20,25,26,7,42
2022-02-14,4,11,29,31,35,37,5,21
2022-02-28,9,12,22,26,30,38,35,40
2022-03-14,21,33,34,37,38,42,20,29
2022-03-21,2,16,20,24,33,38,30,31
2022-03-28,2,19,23,25,35,41,17,18
2022-04-04,1,9,12,14,20,32,21,34
2022-04-11,26,30,32,36,37,40,10,35
2022-04-18,3,6,7,11,25,28,17,30
2022-04-25,1,16,19,23,40,43,7,38
2022-05-02,10,11,17,18,23,43,4,42
2022-05-09,13,24,32,40,42,45,1,25
2022-05-16,6,12,17,34,35,43,10,25
2022-05-23,4,12,19,21,24,36,8,37
2022-06-06,2,5,11,20,26,45,7,14
2022-06-13,2,5,8,31,35,37,17,29
2022-09-12,5,7,25,30,32,39,17,28
2022-09-19,3,24,29,36,37,40,11,27
2022-09-26,6,9,10,16,17,22,4,44
2022-10-03,6,8,13,23,32,43,41,42
2022-10-10,16,17,18,29,32,34,7,26
2022-10-17,5,12,13,14,24,45,6,31
2022-10-24,2,6,9,21,22,33,20,34
2022-11-07,7,8,28,32,36,41,30,42
2022-11-14,1,4,22,39,43,45,17,19
2022-11-28,7,9,20,27,37,38,34,36
2022-12-05,9,15,23,25,28,44,2,4
2023-01-09,8,12,15,18,28,45,3,13
2023-01-23,1,2,3,4,34,36,18,26
2023-01-30,5,8,11,20,39,42,25,38
2023-02-13,6,11,17,40,41,44,10,39
2023-02-20,3,17,19,30,37,38,8,28
2023-02-27,6,10,16,26,36,39,11,29
2023-03-06,7,9,15,20,24,39,5,10
2023-03-13,4,18,29,35,44,45,10,32
2023-03-20,7,14,16,21,41,43,5,31
2023-04-17,4,21,23,25,42,45,7,27
2023-04-24,5,9,16,22,36,39,13,40
2023-05-22,10,12,31,32,42,45,1,38
2023-06-12,9,25,29,35,39,43,21,38
2023-06-19,6,7,8,12,24,40,29,42
2023-06-26,6,12,13,28,33,37,4,34
2023-07-10,2,7,19,32,40,44,13,29
2023-07-24,6,21,22,24,39,42,18,38
2023-07-31,2,3,4,34,35,37,28,41
2023-09-11,8,18,20,28,42,43,4,41
2023-09-25,3,5,9,34,35,43,8,19
2023-10-23,13,16,18,19,25,33,38,39
2023-11-06,14,30,34,36,38,42,18,45
2023-11-27,1,10,13,15,22,45,20,23
2023-12-11,11,23,24,28,31,42,13,35
2023-12-18,20,23,26,30,33,40,15,41
2023-12-25,5,12,20,21,25,39,17,28
2024-01-08,2,4,27,32,36,41,16,38
2024-01-29,3,17,19,33,35,38,8,11
2024-02-12,15,31,32,37,43,44,7,18
2024-02-19,3,6,11,20,22,34,17,42
2024-03-18,2,4,16,27,34,39,11,18
2024-03-25,4,11,19,31,32,35,25,43
2024-04-08,1,9,12,16,22,43,15,32
2024-04-22,4,6,8,14,25,34,7,37
2024-05-13,6,8,34,37,39,45,22,43
2024-05-20,3,9,25,30,31,35,15,43
2024-05-27,4,5,27,36,39,41,24,35
2024-06-17,3,7,24,28,38,44,13,32
2024-06-24,5,8,12,17,29,41,11,37
2024-07-01,5,7,11,13,15,29,20,38
2024-07-22,10,16,26,28,35,37,22,44
2024-09-16,4,15,20,30,31,36,27,45
2024-09-23,7,11,23,33,36,43,3,21
2024-09-30,1,11,20,25,27,42,24,37
2024-10-28,1,15,29,38,41,42,8,30
2024-11-25,8,12,14,17,39,42,23,25
2024-12-16,6,10,20,29,35,41,12,21
2024-12-23,5,15,16,26,28,30,9,14
2025-01-06,1,2,11,28,30,39,4,35
2025-01-27,9,10,14,31,36,37,11,29
2025-02-10,9,11,12,29,30,37,8,20
2025-03-03,4,6,8,15,21,42,7,33
2025-03-10,7,14,17,21,27,33,6,41
2025-03-24,1,2,3,16,22,31,14,41
2025-03-31,6,18,24,34,38,43,13,16
2025-04-21,5,11,12,13,18,30,8,27
2025-04-28,8,12,28,29,36,45,6,31
2025-05-19,13,27,31,38,40,42,23,26
2025-05-26,2,6,10,20,31,35,3,40
2025-06-02,4,24,25,31,36,41,14,42
2025-07-14,4,5,9,40,42,45,2,6
2025-07-28,22,25,31,36,39,42,13,18
2025-09-08,7,12,16,21,25,42,20,32
2025-09-22,2,3,10,13,27,41,5,24
2025-10-13,11,14,16,17,27,28,2,7
2025-10-27,1,6,11,14,26,44,2,17
2025-11-17,2,4,5,7,11,37,22,30
2025-12-01,1,6,8,30,36,38,5,43
2025-12-08,6,12,26,37,39,40,7,24
2026-01-05,6,22,25,29,38,41,5,30
2026-01-12,10,15,16,23,29,42,4,43
2026-01-19,17,28,29,33,36,39,23,44
2026-01-26,2,4,13,17,26,39,15,19
2026-02-23,13,15,18,23,29,33,1,10
2026-03-02,6,8,15,27,33,36,9,22
2026-03-09,1,9,16,19,23,25,10,14
2026-03-16,3,11,16,19,34,43,23,37
2026-03-23,7,12,14,19,20,21,13,27
2026-04-13,6,13,25,28,30,44,14,23
2026-04-20,13,18,21,30,34,40,24,39
